"DS1ICHL.Code.or.Value","DS1ICHL.Value.Description","DS1ICHL.Count","DS1ICHL.Cumulative","DS1ICHL.Skip.to.Item"
"0.005 to 648","Range of Values",474,474,NA
".","Missing",5432,5906,NA
