"FSD235.Code.or.Value","FSD235.Value.Description","FSD235.Count","FSD235.Cumulative","FSD235.Skip.to.Item"
"1 to 1000","Range of Values",2751,2751,NA
"55555","More than $1,000",49,2800,NA
"77777","Refused",30,2830,NA
"99999","Don't know",147,2977,NA
".","Missing",6994,9971,NA
