"DRD370QQ.Code.or.Value","DRD370QQ.Value.Description","DRD370QQ.Count","DRD370QQ.Cumulative","DRD370QQ.Skip.to.Item"
"1 to 10","Range of Values",61,61,NA
".","Missing",9752,9813,NA
