"AUDTYL58.Code.or.Value","AUDTYL58.Value.Description","AUDTYL58.Count","AUDTYL58.Cumulative","AUDTYL58.Skip.to.Item"
"0 to 1.84","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
