"DR1TB12A.Code.or.Value","DR1TB12A.Value.Description","DR1TB12A.Count","DR1TB12A.Cumulative","DR1TB12A.Skip.to.Item"
"0 to 50.98","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
