"URXMBP.Code.or.Value","URXMBP.Value.Description","URXMBP.Count","URXMBP.Cumulative","URXMBP.Skip.to.Item"
"0.28 to 1792.3","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
