"DS1ISUGR.Code.or.Value","DS1ISUGR.Value.Description","DS1ISUGR.Count","DS1ISUGR.Cumulative","DS1ISUGR.Skip.to.Item"
"0.04 to 36","Range of Values",512,512,NA
".","Missing",5211,5723,NA
