"WBXA028.Code.or.Value","WBXA028.Value.Description","WBXA028.Count","WBXA028.Cumulative","WBXA028.Skip.to.Item"
"-3.8957 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
