"TYXP106.Code.or.Value","TYXP106.Value.Description","TYXP106.Count","TYXP106.Cumulative","TYXP106.Skip.to.Item"
"-273 to 68","Range of Values",8452,8452,NA
".","Missing",17,8469,NA
