"DXXL1BMC.Code.or.Value","DXXL1BMC.Value.Description","DXXL1BMC.Count","DXXL1BMC.Cumulative","DXXL1BMC.Skip.to.Item"
"4.88 to 37.6","Range of Values",3063,3063,NA
".","Missing",645,3708,NA
