"FIAPROXY.Code.or.Value","FIAPROXY.Value.Description","FIAPROXY.Count","FIAPROXY.Cumulative","FIAPROXY.Skip.to.Item"
"1","Yes",18,18,NA
"2","No",10217,10235,NA
".","Missing",113,10348,NA
