"MCQ080.Code.or.Value","MCQ080.Value.Description","MCQ080.Count","MCQ080.Cumulative","MCQ080.Skip.to.Item"
"1","Yes",1694,1694,NA
"2","No",4439,6133,NA
"7","Refused",0,6133,NA
"9","Don't know",6,6139,NA
".","Missing",3683,9822,NA
