"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 6.56","Range of Values",3065,3065,NA
".","Missing",329,3394,NA
