"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",100900,100900,NA
"2","Spanish",9812,110712,NA
"3","English and Spanish",629,111341,NA
"4","Other",559,111900,NA
"5","Asian Languages",458,112358,NA
"6","Asian Languages and English",309,112667,NA
".","Missing",16,112683,NA
