"OHQ560Q.Code.or.Value","OHQ560Q.Value.Description","OHQ560Q.Count","OHQ560Q.Cumulative","OHQ560Q.Skip.to.Item"
"1 to 40","Range of Values",2685,2685,""
"7777","Refused",0,2685,"OHQ565"
"9999","Don't know",1,2686,"OHQ565"
".","Missing",7084,9770,""
