"DXXIPY.Code.or.Value","DXXIPY.Value.Description","DXXIPY.Count","DXXIPY.Cumulative","DXXIPY.Skip.to.Item"
"78.9 to 269.3","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
