"LBXTFR.Code.or.Value","LBXTFR.Value.Description","LBXTFR.Count","LBXTFR.Cumulative","LBXTFR.Skip.to.Item"
"1.3 to 28.9","Range of Values",2831,2831,NA
".","Missing",734,3565,NA
