"DSXRN1LD.Code.or.Value","DSXRN1LD.Value.Description","DSXRN1LD.Count","DSXRN1LD.Cumulative","DSXRN1LD.Skip.to.Item"
"0.2 to 0.2","Range of Values",5041,5041,NA
".","Missing",4399,9440,NA
