"OHQ610.Code.or.Value","OHQ610.Value.Description","OHQ610.Count","OHQ610.Cumulative","OHQ610.Skip.to.Item"
"1","Yes",404,404,NA
"2","No",2951,3355,NA
"7","Refused",0,3355,NA
"9","Don't know",4,3359,NA
".","Missing",5538,8897,NA
