"BMIRECUM.Code.or.Value","BMIRECUM.Value.Description","BMIRECUM.Count","BMIRECUM.Cumulative","BMIRECUM.Skip.to.Item"
"1","Could not obtain",38,38,NA
"2","Exceeds capacity",0,38,NA
"3","Not straight",0,38,NA
".","Missing",9605,9643,NA
