"RFXC032.Code.or.Value","RFXC032.Value.Description","RFXC032.Count","RFXC032.Cumulative","RFXC032.Skip.to.Item"
"-6.592 to 3.5","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
