"RHQ566.Code.or.Value","RHQ566.Value.Description","RHQ566.Count","RHQ566.Cumulative","RHQ566.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",61,99,NA
"7","Refused",0,99,NA
"9","Don't know",0,99,NA
".","Missing",3418,3517,NA
