"SLQ060.Code.or.Value","SLQ060.Value.Description","SLQ060.Count","SLQ060.Cumulative","SLQ060.Skip.to.Item"
"1","Yes",477,477,NA
"2","No",6403,6880,NA
"7","Refused",0,6880,NA
"9","Don't know",9,6889,NA
".","Missing",0,6889,NA
