"AUXLR109.Code.or.Value","AUXLR109.Value.Description","AUXLR109.Count","AUXLR109.Cumulative","AUXLR109.Skip.to.Item"
"-81 to 54","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
