"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2558,2558,NA
"1","Below lower detection limit",46,2604,NA
".","Missing",114,2718,NA
