"AUDTYR06.Code.or.Value","AUDTYR06.Value.Description","AUDTYR06.Count","AUDTYR06.Cumulative","AUDTYR06.Skip.to.Item"
"0 to 1","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
