"KIQ022.Code.or.Value","KIQ022.Value.Description","KIQ022.Count","KIQ022.Cumulative","KIQ022.Skip.to.Item"
"1","Yes",179,179,""
"2","No",5745,5924,"KIQ026"
"7","Refused",0,5924,"KIQ026"
"9","Don't know",11,5935,"KIQ026"
".","Missing",0,5935,""
