"AUDTYR60.Code.or.Value","AUDTYR60.Value.Description","AUDTYR60.Count","AUDTYR60.Cumulative","AUDTYR60.Skip.to.Item"
"0 to 1.81","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
