"URXUMO.Code.or.Value","URXUMO.Value.Description","URXUMO.Count","URXUMO.Cumulative","URXUMO.Skip.to.Item"
"1.39 to 556","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
