"LBDV1ALC.Code.or.Value","LBDV1ALC.Value.Description","LBDV1ALC.Count","LBDV1ALC.Cumulative","LBDV1ALC.Skip.to.Item"
"0","detectable result",0,0,NA
"1","below detectable limit",1367,1367,NA
"2","detectable result and exceeds the calibrated range of assay",0,1367,NA
".","Missing",122,1489,NA
