"AUDTYL03.Code.or.Value","AUDTYL03.Value.Description","AUDTYL03.Count","AUDTYL03.Cumulative","AUDTYL03.Skip.to.Item"
"0 to 1.63","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
