"DR2IZINC.Code.or.Value","DR2IZINC.Value.Description","DR2IZINC.Count","DR2IZINC.Cumulative","DR2IZINC.Skip.to.Item"
"0 to 308.11","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
