"LBCHCB.Code.or.Value","LBCHCB.Value.Description","LBCHCB.Count","LBCHCB.Cumulative","LBCHCB.Skip.to.Item"
"20.16 to 1351","Range of Values",301,301,NA
".","Missing",0,301,NA
