"DXXANLM.Code.or.Value","DXXANLM.Value.Description","DXXANLM.Count","DXXANLM.Cumulative","DXXANLM.Skip.to.Item"
"794.4 to 7299.7","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
