"DS2ISFAT.Code.or.Value","DS2ISFAT.Value.Description","DS2ISFAT.Count","DS2ISFAT.Cumulative","DS2ISFAT.Skip.to.Item"
"0.093 to 9","Range of Values",140,140,NA
".","Missing",5559,5699,NA
