"DXXSPX.Code.or.Value","DXXSPX.Value.Description","DXXSPX.Count","DXXSPX.Cumulative","DXXSPX.Skip.to.Item"
"0 to 2","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
