"DXXINITY.Code.or.Value","DXXINITY.Value.Description","DXXINITY.Count","DXXINITY.Cumulative","DXXINITY.Skip.to.Item"
"12.3 to 464.4","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
