"CBD715.Code.or.Value","CBD715.Value.Description","CBD715.Count","CBD715.Cumulative","CBD715.Skip.to.Item"
"1","Always",1190,1190,NA
"2","Most of the time",1102,2292,NA
"3","Sometimes",1246,3538,NA
"4","Rarely",609,4147,NA
"5","Never",428,4575,NA
"6","Never buy these items",140,4715,NA
"7","Refused",0,4715,NA
"9","Don't know",9,4724,NA
".","Missing",1675,6399,NA
