"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"1852.3028731 to 443805.73786","Range of Values",8519,8519,NA
".","Missing",819,9338,NA
