"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"46.3 to 681.9","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
