"AUXLR221.Code.or.Value","AUXLR221.Value.Description","AUXLR221.Count","AUXLR221.Cumulative","AUXLR221.Skip.to.Item"
"-19 to 70","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
