"DUQ210.Code.or.Value","DUQ210.Value.Description","DUQ210.Count","DUQ210.Cumulative","DUQ210.Skip.to.Item"
"12 to 55","Range of Values",1683,1683,NA
"11","11 years or under",54,1737,NA
"777","Refused",0,1737,NA
"999","Don't know",1,1738,NA
".","Missing",2834,4572,NA
