"DMDHRAGE.Code.or.Value","DMDHRAGE.Value.Description","DMDHRAGE.Count","DMDHRAGE.Cumulative","DMDHRAGE.Skip.to.Item"
"17 to 84","Range of Values",9782,9782,NA
"85",">= 85 years of age",171,9953,NA
".","Missing",12,9965,NA
