"LBCTCD.Code.or.Value","LBCTCD.Value.Description","LBCTCD.Count","LBCTCD.Cumulative","LBCTCD.Skip.to.Item"
"1.09 to 75.9","Range of Values",246,246,NA
".","Missing",1,247,NA
