"DR1IP225.Code.or.Value","DR1IP225.Value.Description","DR1IP225.Count","DR1IP225.Cumulative","DR1IP225.Skip.to.Item"
"0 to 1.176","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
