"DUQ360.Code.or.Value","DUQ360.Value.Description","DUQ360.Count","DUQ360.Cumulative","DUQ360.Skip.to.Item"
"1 to 20","Range of Values",22,22,NA
"77","Refused",0,22,NA
"99","Don't know",0,22,NA
".","Missing",4774,4796,NA
