"LBDFBSI.Code.or.Value","LBDFBSI.Value.Description","LBDFBSI.Count","LBDFBSI.Cumulative","LBDFBSI.Skip.to.Item"
"1.24 to 9.93","Range of Values",2680,2680,NA
".","Missing",5664,8344,NA
