"AUXRR253.Code.or.Value","AUXRR253.Value.Description","AUXRR253.Count","AUXRR253.Cumulative","AUXRR253.Skip.to.Item"
"-10 to 36","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
