"DR2ILINE.Code.or.Value","DR2ILINE.Value.Description","DR2ILINE.Count","DR2ILINE.Cumulative","DR2ILINE.Skip.to.Item"
"1 to 43","Range of Values",120871,120871,NA
".","Missing",0,120871,NA
