"DR2IM161.Code.or.Value","DR2IM161.Value.Description","DR2IM161.Count","DR2IM161.Cumulative","DR2IM161.Skip.to.Item"
"0 to 9.591","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
