"HUQ010.Code.or.Value","HUQ010.Value.Description","HUQ010.Count","HUQ010.Cumulative","HUQ010.Skip.to.Item"
"1","Excellent,",2303,2303,NA
"2","Very good,",2501,4804,NA
"3","Good,",2847,7651,NA
"4","Fair, or",1335,8986,NA
"5","Poor?",261,9247,NA
"7","Refused",5,9252,NA
"9","Don't know",2,9254,NA
".","Missing",0,9254,NA
