"AUXLR276.Code.or.Value","AUXLR276.Value.Description","AUXLR276.Count","AUXLR276.Cumulative","AUXLR276.Skip.to.Item"
"-19 to 63","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
