"RDQ031.Code.or.Value","RDQ031.Value.Description","RDQ031.Count","RDQ031.Cumulative","RDQ031.Skip.to.Item"
"1","Yes",473,473,""
"2","No",3548,4021,"RDQ050"
"7","Refused",0,4021,"RDQ050"
"9","Don't know",3,4024,"RDQ050"
".","Missing",5642,9666,""
