"OCQ210.Code.or.Value","OCQ210.Value.Description","OCQ210.Count","OCQ210.Cumulative","OCQ210.Skip.to.Item"
"1","Yes",258,258,NA
"2","No",632,890,NA
"7","Refused",2,892,NA
"9","Don't know",0,892,NA
".","Missing",5283,6175,NA
