"OPDUSWRT.Code.or.Value","OPDUSWRT.Value.Description","OPDUSWRT.Count","OPDUSWRT.Cumulative","OPDUSWRT.Skip.to.Item"
"0","No",2357,2357,NA
"1","Questionable",19,2376,NA
"2","Yes",55,2431,NA
"3","Yes, in center",15,2446,NA
".","Missing",488,2934,NA
