"LBDD05LC.Code.or.Value","LBDD05LC.Value.Description","LBDD05LC.Count","LBDD05LC.Cumulative","LBDD05LC.Skip.to.Item"
"0","detectable result",1203,1203,NA
"1","below detectable limit",17,1220,NA
".","Missing",1327,2547,NA
