"URXUTU.Code.or.Value","URXUTU.Value.Description","URXUTU.Count","URXUTU.Cumulative","URXUTU.Skip.to.Item"
"0.013 to 25.76","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
