"RFXC058.Code.or.Value","RFXC058.Value.Description","RFXC058.Count","RFXC058.Cumulative","RFXC058.Skip.to.Item"
"-5.112 to 4.239","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
