"URDP10LC.Code.or.Value","URDP10LC.Value.Description","URDP10LC.Count","URDP10LC.Cumulative","URDP10LC.Skip.to.Item"
"0","At or above the detection limit",2411,2411,NA
"1","Below lower detection limit",4,2415,NA
".","Missing",223,2638,NA
