"DXXPT90X.Code.or.Value","DXXPT90X.Value.Description","DXXPT90X.Count","DXXPT90X.Cumulative","DXXPT90X.Skip.to.Item"
"488.2 to 1071.7","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
