"URXMAD.Code.or.Value","URXMAD.Value.Description","URXMAD.Count","URXMAD.Cumulative","URXMAD.Skip.to.Item"
"8.5 to 4330","Range of Values",3008,3008,NA
".","Missing",271,3279,NA
