"SXQ170.Code.or.Value","SXQ170.Value.Description","SXQ170.Count","SXQ170.Cumulative","SXQ170.Skip.to.Item"
"0 to 1000","Range of Values",1070,1070,NA
"77777","Refused",9,1079,NA
"99999","Don't know",6,1085,NA
".","Missing",1753,2838,NA
