"LBXPCBLA.Code.or.Value","LBXPCBLA.Value.Description","LBXPCBLA.Count","LBXPCBLA.Cumulative","LBXPCBLA.Skip.to.Item"
"1.3 to 845","Range of Values",1226,1226,NA
".","Missing",1321,2547,NA
