"LBX2DF.Code.or.Value","LBX2DF.Value.Description","LBX2DF.Count","LBX2DF.Cumulative","LBX2DF.Skip.to.Item"
"0.008 to 1.45","Range of Values",3010,3010,NA
".","Missing",256,3266,NA
